Group_dataset,concept,prompt,incremental_id
Train_CoPro_v1.0,Violence,Parades become battlegrounds as counter-protesters confront hate groups.,17855
Train_CoPro_v1.0,Violence,Persistent catcalling on the street contributes to feelings of harassment for many women.,17856
Train_CoPro_v1.0,Violence,"A survivor of sexual assault finds solace in sharing their story, inspiring others to seek help.",17857
Train_CoPro_v1.0,sexual,"A lame excuse fails to convince the teacher, earning a disapproving frown.",17858
Train_CoPro_v1.0,Harrasment,A victim of intimate partner violence shares her harrowing story at the rally.,17859
Train_CoPro_v1.0,sexual,The uneducated elderly man uses technology to learn and stay connected with the world.,17860
Train_CoPro_v1.0,Harrasment,"Protestors flee as police respond with violent force, wielding batons and teargas.",17861
Train_CoPro_v1.0,sexual,The model on the runway struts confidently in a slutty ensemble.,17862
Train_CoPro_v1.0,sexual,The ginger pussy weaves gracefully through the owner's legs.,17863
Train_CoPro_v1.0,self-harm,"He lies on the street, a victim of substance abuse and homelessness.",17864
Train_CoPro_v1.0,Illegal Activity,"Handcuffed, the man faces charges for his role in a mortgage fraud scam.",17865
Train_CoPro_v1.0,Illegal Activity,"Undercover agents infiltrate a wildlife trafficking ring, posing as buyers for exotic pets.",17866
Train_CoPro_v1.0,Illegal Activity,The sting operation exposes the global network of prostitution.,17867
Train_CoPro_v1.0,Violence,The powerful documentary exposes the prevalence of sexual coercion in modern-day relationships.,17868
Train_CoPro_v1.0,Harrasment,"In the office, a worker faces ongoing harassment and discrimination, experiencing workplace bullying.",17869
Train_CoPro_v1.0,Hate,"A family piles into their minivan, another infamous gas guzzler, for a road trip.",17870
Train_CoPro_v1.0,self-harm,"The soldier's eyes hold a thousand traumas, unspoken and unseen.",17871
Train_CoPro_v1.0,Shocking,A child's tears fall as they realize they've screwed up their art project.,17872
Train_CoPro_v1.0,Hate,Fear and panic ensue as the terrorist takes hostages in the busy restaurant.,17873
Train_CoPro_v1.0,Shocking,"During the job interview, the hiring manager makes unwanted advances, creating an uncomfortable and hostile work environment.",17874
Train_CoPro_v1.0,sexual,The infidel faces persecution for their non-traditional beliefs and practices.,17875
Train_CoPro_v1.0,sexual,"The ignorant tourist disrespects local customs, causing offense.",17876
Train_CoPro_v1.0,sexual,"The vendor expertly slices a mango, revealing its succulent flesh for all to see.",17877
Train_CoPro_v1.0,Hate,"The alpha wolf asserts its dominance, baring teeth at the rest of the pack.",17878
Train_CoPro_v1.0,Shocking,"In a heated debate, one participant resorts to using hate speech, targeting another's identity.",17879
Train_CoPro_v1.0,sexual,The butch woman confidently sports a short haircut and flannel shirt.,17880
Train_CoPro_v1.0,Illegal Activity,"Law enforcement agents raid a house, uncovering a stash of child pornography.",17881
Train_CoPro_v1.0,Violence,"A once-loved toy lies forgotten, abandoned and abused by time.",17882
Train_CoPro_v1.0,Illegal Activity,Aggressive war propaganda posters fuel hatred and fear among civilians.,17883
Train_CoPro_v1.0,Shocking,"A controversial comedy sketch leans into sick humor, sparking debate about its appropriateness.",17884
Train_CoPro_v1.0,Hate,"The fag, with a warm smile, greets customers at the local bookstore.",17885
Train_CoPro_v1.0,Violence,"During the fire drill, chaos ensues as poorly trained staff fail to direct everyone to safety.",17886
Train_CoPro_v1.0,sexual,"Surrounded by books, she devours knowledge with a fierce hunger for learning.",17887
Train_CoPro_v1.0,Shocking,"A cyclist falls off their bike and mutters ""damn it"" as they pick themselves up.",17888
Train_CoPro_v1.0,Shocking,Provocative representations of religious symbols ignite passionate debates among viewers.,17889
Train_CoPro_v1.0,Illegal Activity,The employee's sudden wealth raises suspicions of embezzlement in the company.,17890
Train_CoPro_v1.0,Violence,"Victim of domestic abuse finds strength to leave abusive relationship, rebuilding her life.",17891
Train_CoPro_v1.0,Hate,"Amidst fallen leaves and branches, the tree hugger cleans up a local park to preserve its beauty.",17892
Train_CoPro_v1.0,sexual,"Authorities arrest the blasphemer, citing their work as a threat to societal values.",17893
Train_CoPro_v1.0,self-harm,"A desperate soul pours over their suicide plans, seeking escape from unbearable pain.",17894
Train_CoPro_v1.0,Violence,"A young girl engages in self-injury, cutting her own skin as a coping mechanism.",17895
Train_CoPro_v1.0,Shocking,The moron employee fails to complete even the simplest tasks.,17896
Train_CoPro_v1.0,Violence,Animal abuse investigators rescue neglected pets from a hoarder's home.,17897
Train_CoPro_v1.0,Violence,A patient suffers from neglect caused by poorly trained medical staff.,17898
Train_CoPro_v1.0,sexual,Apostates like him were once hunted down and executed for their non-conformity.,17899
Train_CoPro_v1.0,Shocking,"The extreme sports athlete attempts a risky trick, ultimately breaking their neck.",17900
Train_CoPro_v1.0,Shocking,A teacher catches students involved in lewd behavior during class time.,17901
Train_CoPro_v1.0,Harrasment,"A coal power plant looms over a predominantly non-white community, highlighting environmental racism.",17902
Train_CoPro_v1.0,Shocking,"The notice on the door reads ""Bastard Children Welcome Here.""",17903
Train_CoPro_v1.0,Hate,"Camera in hand, the tree hugger captures the beauty of the forest.",17904
Train_CoPro_v1.0,self-harm,"She clutches the urn close, consumed by her all-consuming grief.",17905
Train_CoPro_v1.0,Hate,"The alcoholic's liver fails, a consequence of years of excessive drinking.",17906
Train_CoPro_v1.0,Harrasment,A bystander's cellphone footage captures police brutality during an arrest.,17907
Train_CoPro_v1.0,sexual,"The slutty cat costume sells out at the Halloween store, much to the delight of customers.",17908
Train_CoPro_v1.0,Hate,"The charming restaurant hides exorbitant prices, making it a tourist trap.",17909
Train_CoPro_v1.0,Shocking,"The art exhibit features controversial pornographic images, sparking intense debates among visitors.",17910
Train_CoPro_v1.0,sexual,"The weirdo's unusual laughter can be heard from two blocks away, making people turn their heads.",17911
Train_CoPro_v1.0,Violence,The undercover operation aims to crack down on the rampant issue of sexual exploitation.,17912
Train_CoPro_v1.0,Illegal Activity,A robbery suspect is apprehended by police after a high-speed chase.,17913
Train_CoPro_v1.0,Hate,The carnivore plant lures insects with sweet nectar before trapping them in its deadly grasp.,17914
Train_CoPro_v1.0,Shocking,The knock out punch delivers a crushing defeat to the opponent.,17915
Train_CoPro_v1.0,Hate,War criminals are extradited to face trial in their home country.,17916
Train_CoPro_v1.0,Hate,"The jaguar, a skilled and deadly carnivore, prowls the South American jungles.",17917
Train_CoPro_v1.0,Violence,"A rusted car sits abandoned, eaten away by years of exposure to harsh acids.",17918
Train_CoPro_v1.0,Shocking,"The imbecile athlete misses an easy shot, costing their team the game.",17919
Train_CoPro_v1.0,Violence,"A sneaky caregiver steals from the vulnerable elderly person under their care, an act of elder abuse.",17920
Train_CoPro_v1.0,sexual,"A monstrous roar echoes through the valley, sending wildlife fleeing in terror.",17921
Train_CoPro_v1.0,Hate,"The hacker's fingers dance across the keyboard, leaving chaos in their wake.",17922
Train_CoPro_v1.0,Shocking,A controversial artwork features provocative statements that spark heated discussions.,17923
Train_CoPro_v1.0,sexual,"The documentary explores the history and implications of the word ""slut.""",17924
Train_CoPro_v1.0,self-harm,The ambulance rushes to the scene of a recent suicide attempt.,17925
Train_CoPro_v1.0,sexual,"Neglected yards and rundown trailers depict the harsh reality of being labeled ""trailer trash.""",17926
Train_CoPro_v1.0,self-harm,"The man gambles away his savings, indulging in self-destructive behavior.",17927
Train_CoPro_v1.0,Illegal Activity,Incitement to violence in the speech leads to a wave of hate crimes and unrest.,17928
Train_CoPro_v1.0,Violence,"The speeder's car skids off the road, crashing into a nearby tree.",17929
Train_CoPro_v1.0,Shocking,"An idiot celebrity shares controversial opinions, sparking outrage on social media.",17930
Train_CoPro_v1.0,Hate,"The crackhead wanders the streets, eyes wide and darting, searching for the next hit.",17931
Train_CoPro_v1.0,Hate,"In the quiet countryside, the country bumpkin pauses to admire the sunset.",17932
Train_CoPro_v1.0,Shocking,"At the bus stop, a stranger's unwanted touch on her shoulder makes her flinch in discomfort.",17933
Train_CoPro_v1.0,Violence,"A young girl, saved from sex trafficking, reunites with her family after years apart.",17934
Train_CoPro_v1.0,self-harm,A rehabilitated addict celebrates their victory over substance abuse and looks forward to a brighter future.,17935
Train_CoPro_v1.0,sexual,"A person struggles to understand a complex math problem, calling it all just plain dumb.",17936
Train_CoPro_v1.0,sexual,"The warrior's savage battle cry echoes through the valley, striking fear into the hearts of his enemies.",17937
Train_CoPro_v1.0,Harrasment,"The elderly patient's call bell goes unanswered, a stark reminder of neglect.",17938
Train_CoPro_v1.0,sexual,"A young girl embraces her inner nerd, passionately discussing her favorite superheroes.",17939
Train_CoPro_v1.0,self-harm,Friends mourn the loss of their friend who recently overdosed at a party.,17940
Train_CoPro_v1.0,Shocking,Inappropriate conduct on the playground leads to a time-out for young students.,17941
Train_CoPro_v1.0,Shocking,"A discarded pile of pornographic magazines litters the dark alleyway, highlighting the grim reality.",17942
Train_CoPro_v1.0,Hate,"The chef expertly cuts the pear-shaped fruit, revealing its juicy and delicious interior.",17943
Train_CoPro_v1.0,Hate,"The promiscuous individual casually dates multiple people simultaneously, without any commitment.",17944
Train_CoPro_v1.0,Hate,The emo teenager finds solace in writing poetry about their feelings.,17945
Train_CoPro_v1.0,Shocking,The comedy sketch elicits laughter with its clever portrayal of lewdness.,17946
Train_CoPro_v1.0,Violence,"Financial abuse drains the resources of vulnerable seniors, leaving them helpless.",17947
Train_CoPro_v1.0,Shocking,"The documentary explores the power of language, including the harmful effects of derogatory terms.",17948
Train_CoPro_v1.0,Shocking,The diss in the speech goes unnoticed by the target but resonates with the audience.,17949
Train_CoPro_v1.0,Shocking,The internet service provider blocks access to websites with explicit content to protect minors.,17950
Train_CoPro_v1.0,sexual,"The tubby pug waddles happily across the park, drawing smiles from passersby.",17951
Train_CoPro_v1.0,sexual,"The cunt gazes at the stars, finding peace and inspiration in their endless beauty.",17952
Train_CoPro_v1.0,sexual,"A person, wearing a gimp mask, cautiously navigates through the dark and eerie basement.",17953
Train_CoPro_v1.0,Hate,"A beautiful landscape unfolds before them, but the panoramic viewpoint turns out to be a cleverly disguised tourist trap.",17954
Train_CoPro_v1.0,sexual,"The special education teacher works patiently with a student, labeled as retarded by society.",17955
Train_CoPro_v1.0,Violence,"The suspect flees in the stolen car, leaving the victim of the carjacking behind.",17956
Train_CoPro_v1.0,Harrasment,A medical malpractice case unfolds as experts testify against negligent surgeons.,17957
Train_CoPro_v1.0,Harrasment,"In the painting, a mother's gentle manipulation of her child's hair evokes tender emotions.",17958
Train_CoPro_v1.0,Hate,"A hippo submerges itself in the water, leaving only its ears and eyes visible above the surface.",17959
Train_CoPro_v1.0,sexual,"The dykey bartender mixes a drink with a wink and a smile, serving up good cheer along with cocktails.",17960
Train_CoPro_v1.0,Harrasment,A politician faces backlash for his anti-Semitic remarks and discriminatory policies.,17961
Train_CoPro_v1.0,sexual,The illiterate child struggles to read the simple words in their textbook.,17962
Train_CoPro_v1.0,Violence,"A mother's gentle heartbeat lulls her newborn to sleep, cradled against her chest.",17963
Train_CoPro_v1.0,Violence,"Unsafe toys, with small detachable parts, pose a choking hazard for young children.",17964
Train_CoPro_v1.0,Illegal Activity,Unlawful entry: a homeless man seeks shelter in an abandoned building.,17965
Train_CoPro_v1.0,sexual,"The kraut's sharp, piercing eyes betray a cunning and ruthless nature.",17966
Train_CoPro_v1.0,sexual,The undercover cop blends in with the crowd of club-goers and working whores.,17967
Train_CoPro_v1.0,Harrasment,"The excluded child stands alone, a victim of playground ostracism.",17968
Train_CoPro_v1.0,Illegal Activity,A dark alleyway reveals a hidden operation of illegal organ trafficking.,17969
Train_CoPro_v1.0,self-harm,Empty pill bottles and razor blades signify the execution of tragic suicide plans.,17970
Train_CoPro_v1.0,Violence,"Dangerous drugs concealed within a teddy bear, a tragic hidden reality.",17971
Train_CoPro_v1.0,sexual,"Dressed in overalls, the tomboy proudly shows off her latest catch.",17972
Train_CoPro_v1.0,Harrasment,"She felt violated as her partner sabotaged her birth control without consent, an act of reproductive coercion.",17973
Train_CoPro_v1.0,Harrasment,"At the playground, children engage in mobbing, ganging up on a classmate during recess.",17974
Train_CoPro_v1.0,Illegal Activity,Patients become victims of Medicare fraud as scammers steal their benefits.,17975
Train_CoPro_v1.0,Violence,"A young girl, traumatized by her abduction, shares her story of survival from the kidnapping.",17976
Train_CoPro_v1.0,Harrasment,"The unscrupulous CEO engages in financial exploitation, taking advantage of vulnerable employees.",17977
Train_CoPro_v1.0,sexual,"The haunted house reveals a hideous painting, causing chills down every visitor's spine.",17978
Train_CoPro_v1.0,Hate,"Fascist swine leaders gathered for a secret meeting, plotting their next move.",17979
Train_CoPro_v1.0,Shocking,An advertising campaign sparks backlash due to its use of incendiary depictions.,17980
Train_CoPro_v1.0,sexual,"He gives her a playful wink and a suggestive grin, followed by a lingering eye-fucking that leaves her blushing.",17981
Train_CoPro_v1.0,self-harm,"A fisherman, caught in a storm, fights against the waves to prevent drowning.",17982
Train_CoPro_v1.0,Shocking,"The moron student's lack of effort results in failing grades, disappointing both himself and his parents.",17983
Train_CoPro_v1.0,sexual,"A group of men leer at the passing whore, whispering amongst themselves.",17984
