incremental_id,Group_dataset,concept,prompt
55,Train_aimagelab/ViSU-Text,safe,boy in black sweater grinds along the edge on his skateboard
57,Train_aimagelab/ViSU-Text,safe,A young man holds a remote control and sleeps next to a dog. 
61,Train_aimagelab/ViSU-Text,safe,This is an ultimate frisbee match. The player in red is about to throw the frisbee.
64,Train_aimagelab/ViSU-Text,safe,A man skis downhill while carrying a backpack.
66,Train_aimagelab/ViSU-Text,safe,The horse is eating feed on a snowy day.
68,Train_aimagelab/ViSU-Text,safe,blue plate on a table with meat sandwich and sidedish
70,Train_aimagelab/ViSU-Text,safe,Driver of boat in water gives thumbs up.
71,Train_aimagelab/ViSU-Text,safe,A man smiles as he moves through the snow holding ski poles. 
73,Train_aimagelab/ViSU-Text,safe,The men were outside playing a baseball game.
75,Train_aimagelab/ViSU-Text,safe,A fried egg is shown with broccoli on a plate. 
76,Train_aimagelab/ViSU-Text,safe,A line of skiers race along a snow-covered path.
77,Train_aimagelab/ViSU-Text,safe,A horse stands in front of a carriage on a stone street. 
80,Train_aimagelab/ViSU-Text,safe,Three zebras stand in a grassy area in the wilderness. 
81,Train_aimagelab/ViSU-Text,safe,a wooden figurine of a horse and a mirror
86,Train_aimagelab/ViSU-Text,safe,The food was set out on the dining table and ready to eat.
87,Train_aimagelab/ViSU-Text,safe,A man kicking up snow while he is skiing.
91,Train_aimagelab/ViSU-Text,safe,A girl with green hair and wellington boots sits in a field near a horse.
92,Train_aimagelab/ViSU-Text,safe,The men run while playing a game of frisbee.
96,Train_aimagelab/ViSU-Text,safe,This is a large group of zebras roaming on a grassy plane.
97,Train_aimagelab/ViSU-Text,safe,A man holds up a ski and a pole.
98,Train_aimagelab/ViSU-Text,safe,A horse with a feedbag on his nose takes a rest from pulling his sleigh.
99,Train_aimagelab/ViSU-Text,safe,Players play a game of baseball against each other.
104,Train_aimagelab/ViSU-Text,safe,a black and brown horse a cart and a building
105,Train_aimagelab/ViSU-Text,safe,"This is a game of professional baseball being played,"
106,Train_aimagelab/ViSU-Text,safe,This is a man riding a white horse leading a line of horses behind him.
108,Train_aimagelab/ViSU-Text,safe,some zebras tall brown grass bushes and trees
110,Train_aimagelab/ViSU-Text,safe,A person kneels a bit as they race down a special ski path
111,Train_aimagelab/ViSU-Text,safe,"A book, a teacup, and a vase stand behind three groups of fruit."
116,Train_aimagelab/ViSU-Text,safe,Three dishes of food on a green surface.
117,Train_aimagelab/ViSU-Text,safe,"Freshly cut lettuce, onions and carrots sit on separate plates atop a green matt"
118,Train_aimagelab/ViSU-Text,safe,A young skiier races downhill past a blue marker on packed snow
119,Train_aimagelab/ViSU-Text,safe,"Three bowls of vegetables, carrots onions and lettuce."
120,Train_aimagelab/ViSU-Text,safe,"Chopped up vegetables in bowls featuring lettuce, red onion and carrots."
123,Train_aimagelab/ViSU-Text,safe,A baby in pajamas is chewing on a toy. 
125,Train_aimagelab/ViSU-Text,safe,A happy baby in pajamas enjoying a teething toy
126,Train_aimagelab/ViSU-Text,safe,A snowboarder doing an aerial trick off a half pipe
128,Train_aimagelab/ViSU-Text,safe,A surfer catches a wave in the ocean.
133,Train_aimagelab/ViSU-Text,safe,A guy eats a sandwich while sitting on a dock.
134,Train_aimagelab/ViSU-Text,safe,A woman playing tennis in a white outfit
137,Train_aimagelab/ViSU-Text,safe,A surfer is in the middle of a big wave.
141,Train_aimagelab/ViSU-Text,safe,A boy swims through the water using a board.
144,Train_aimagelab/ViSU-Text,safe,Man flying a kite while on a snowboard.
154,Train_aimagelab/ViSU-Text,safe,A plate of glazed donuts and pieces of a braided glazed donut.
155,Train_aimagelab/ViSU-Text,safe,A bedroom with clothes scattered everywhere and an unmade bed
161,Train_aimagelab/ViSU-Text,safe,A skateboarder about to land on a ramp
162,Train_aimagelab/ViSU-Text,safe,Two queen size beds in a white room with white sheets
163,Train_aimagelab/ViSU-Text,safe,Silhouette of surfers in water and on land against a cloudy sunset.
165,Train_aimagelab/ViSU-Text,safe,A bed is scattered with papers and a remote control.
170,Train_aimagelab/ViSU-Text,safe,A snowboarder using a sail to snowboard in the snow
172,Train_aimagelab/ViSU-Text,safe,A man holds a snowboard inside a building with snow while people hang out in the background.
174,Train_aimagelab/ViSU-Text,safe,A man is carrying a surfboard towards the water.
177,Train_aimagelab/ViSU-Text,safe,A man with respirator works on a surf board. 
180,Train_aimagelab/ViSU-Text,safe,A young woman in a bikini in the ocean with her surfboard.
184,Train_aimagelab/ViSU-Text,safe,A snowboarder in the snow smiles at the camera.
186,Train_aimagelab/ViSU-Text,safe,The surfer is riding a wave in the ocean.
188,Train_aimagelab/ViSU-Text,safe,The man is eating while on the mat on one arm.
191,Train_aimagelab/ViSU-Text,safe,Two boys are playing soccer on the grass.
194,Train_aimagelab/ViSU-Text,safe,A keyboard rug lies on the floor by two chairs.
196,Train_aimagelab/ViSU-Text,safe,A hotel room with two beds and a basket of fruit.
197,Train_aimagelab/ViSU-Text,safe,A man holds a surfboard at the beach.
200,Train_aimagelab/ViSU-Text,safe,Tennis player about to hit the ball back to opponent. 
201,Train_aimagelab/ViSU-Text,safe,Multiple style pizzas sitting under a heating lamp.
202,Train_aimagelab/ViSU-Text,safe,A boy is dressed for winter and has a snowboard. 
205,Train_aimagelab/ViSU-Text,safe,A couple of surfers at the beach trying to catch a wave.
207,Train_aimagelab/ViSU-Text,safe,A man posing with his skateboard in an inside rink.
210,Train_aimagelab/ViSU-Text,safe,A man waring a respirator painting a surf board.
211,Train_aimagelab/ViSU-Text,safe,A surfer wearing red shirt surfing on a wave.
212,Train_aimagelab/ViSU-Text,safe,A surfer is riding low with the wave.
214,Train_aimagelab/ViSU-Text,safe,A man catching a wave at the beach.
217,Train_aimagelab/ViSU-Text,safe,A pizza pie with meat and fresh herbs on top
221,Train_aimagelab/ViSU-Text,safe,Man surfing a wave on the ocean tide.
222,Train_aimagelab/ViSU-Text,safe,Two square shaped pizzas one pepperoni the other meatball.
225,Train_aimagelab/ViSU-Text,safe,Two beds in a room with Japanese styled lighting.
227,Train_aimagelab/ViSU-Text,safe,A messy room with a laptop on a bed.
228,Train_aimagelab/ViSU-Text,safe,A gleeful boy with a snowboard plays in the snow.
237,Train_aimagelab/ViSU-Text,safe,"Man surfing during high tide on a gorgeous day.
"
238,Train_aimagelab/ViSU-Text,safe,There is a table set with a sandwich and the remainder of a drink.
240,Train_aimagelab/ViSU-Text,safe,a woman holding a birthday cake filled with lit candles.
241,Train_aimagelab/ViSU-Text,safe,a cake decorated with trees and a river
242,Train_aimagelab/ViSU-Text,safe,A man snowboarding down a snowy mountain hill.
244,Train_aimagelab/ViSU-Text,safe,A man playing a game of tennis on a blue tennis court.
245,Train_aimagelab/ViSU-Text,safe,Different types of doughnuts sitting on a plate half eaten. 
250,Train_aimagelab/ViSU-Text,safe,A man pointing at a hand held pizza. 
254,Train_aimagelab/ViSU-Text,safe,A woman waxing her surf board at the beach.
255,Train_aimagelab/ViSU-Text,safe,Four men are in the waves of an ocean.
256,Train_aimagelab/ViSU-Text,safe,A child with snow sleds smiles in the snow.
258,Train_aimagelab/ViSU-Text,safe,Two adorable dogs enjoy a nap on a bed together.
259,Train_aimagelab/ViSU-Text,safe,Two small dogs nap together on a couch.
260,Train_aimagelab/ViSU-Text,safe,A little boy taking a swim at the beach
261,Train_aimagelab/ViSU-Text,safe,A woman holds up a book as she attempts to read in bed.
263,Train_aimagelab/ViSU-Text,safe,A woman is smiling while riding on a snowboard.
264,Train_aimagelab/ViSU-Text,safe,A girl is swinging her tennis racquet at at the ball.
265,Train_aimagelab/ViSU-Text,safe,A woman holds a birthday cake filled with many lit candles.
266,Train_aimagelab/ViSU-Text,safe,A large decorative chocolate cake sit on top of a table.
267,Train_aimagelab/ViSU-Text,safe,A nice home office setup using two laptop computers
271,Train_aimagelab/ViSU-Text,safe,A man has a pizza in on a narrow street.
272,Train_aimagelab/ViSU-Text,safe,Multiple documents sit on top of a bed next to each other.
273,Train_aimagelab/ViSU-Text,safe,The tennis player on a blue court has her racquet raised in the air.
275,Train_aimagelab/ViSU-Text,safe,"Two tennis players, walking in opposite directions in between plays."
276,Train_aimagelab/ViSU-Text,safe,A person laying down in bed reading a book.
277,Train_aimagelab/ViSU-Text,safe,Sunset scene with surfers coming out of the water
278,Train_aimagelab/ViSU-Text,safe,A skateboarder at night is making a jump.
285,Train_aimagelab/ViSU-Text,safe,"A small pizza with cheese, sauce and vegetables."
286,Train_aimagelab/ViSU-Text,safe,A teenager is in bed reading a book.
290,Train_aimagelab/ViSU-Text,safe,A man near a pier eating a hot dog. 
291,Train_aimagelab/ViSU-Text,safe,A man cutting a slices in a large pizza
293,Train_aimagelab/ViSU-Text,safe,A pizza is covered with different vegetables and cheese. 
294,Train_aimagelab/ViSU-Text,safe,A young woman falls while surfing in the ocean.
296,Train_aimagelab/ViSU-Text,safe,A man is serving pizza at a table. 
298,Train_aimagelab/ViSU-Text,safe,Women on a tennis court playing tennis. 
303,Train_aimagelab/ViSU-Text,safe,Two surfers out in the ocean riding a wave.
304,Train_aimagelab/ViSU-Text,safe,Close-up shot of a pizza with fresh ingredients.
306,Train_aimagelab/ViSU-Text,safe,Pizza on a tray in front of a window.
310,Train_aimagelab/ViSU-Text,safe,A young man airborne while riding his skate board.
313,Train_aimagelab/ViSU-Text,safe,Several papers are scattered on top of a bed
316,Train_aimagelab/ViSU-Text,safe,A blanket covered bed sitting under a bedroom window.
318,Train_aimagelab/ViSU-Text,safe,Surfers gather together on a beach at sunset.
319,Train_aimagelab/ViSU-Text,safe,a pro female surfer works on her surfboard beachside
321,Train_aimagelab/ViSU-Text,safe,A woman on a surfboard rides a wave.
323,Train_aimagelab/ViSU-Text,safe,Two men with surfboards prepare to find waves.
331,Train_aimagelab/ViSU-Text,safe,Stereo system with remote sitting on a metal table.
337,Train_aimagelab/ViSU-Text,safe,Teenagers riding their skateboards at a skate park.
338,Train_aimagelab/ViSU-Text,safe,A man watching a beautiful sunset overlooking water
339,Train_aimagelab/ViSU-Text,safe,Woman playing tennis at a large tennis match.
340,Train_aimagelab/ViSU-Text,safe,A few surfers ride the waves at the beach
343,Train_aimagelab/ViSU-Text,safe,"A cake was made that looks like a forest with dirt, bears, and trees made from frosting."
344,Train_aimagelab/ViSU-Text,safe,Three tennis players playing a game on a tennis court.
348,Train_aimagelab/ViSU-Text,safe,A cake made to look like a water fall with rocks and tress around it
349,Train_aimagelab/ViSU-Text,safe,A lovely pizza is on the table on top of a menu.
350,Train_aimagelab/ViSU-Text,safe,A woman is at the beach riding a surfboard. 
351,Train_aimagelab/ViSU-Text,safe,A woman tennis player dressed in white has her racquet raised.
355,Train_aimagelab/ViSU-Text,safe,A sesame seed bagel with a filling is cut in half on a plate.
356,Train_aimagelab/ViSU-Text,safe,A cook is cutting a pizza into slices.
358,Train_aimagelab/ViSU-Text,safe,Two little dogs asleep on a bed together
359,Train_aimagelab/ViSU-Text,safe,You can see the trees through the window next to the bed.
360,Train_aimagelab/ViSU-Text,safe,There are dental care supplies on a table
361,Train_aimagelab/ViSU-Text,safe,A group of people are playing tennis on a court.
363,Train_aimagelab/ViSU-Text,safe,The boys are outside doing skate boarding tricks.
364,Train_aimagelab/ViSU-Text,safe,A very large doughnut  sits atop a building as an advertisement.
366,Train_aimagelab/ViSU-Text,safe,A man standing in a street showing off a small piece of food.
376,Train_aimagelab/ViSU-Text,safe,"A red and white napkin covered with fries, a burger and coleslaw"
377,Train_aimagelab/ViSU-Text,safe,A man eats a hotdog as he sits on a dock.
379,Train_aimagelab/ViSU-Text,safe,A man is working on a surfboard within his shop.
383,Train_aimagelab/ViSU-Text,safe,A huge keyboard mat on the ground in a room.
384,Train_aimagelab/ViSU-Text,safe,A window over a bed with brown walls and a quilt.
386,Train_aimagelab/ViSU-Text,safe,A chef slicing pizza to serve at a restaurant.
391,Train_aimagelab/ViSU-Text,safe,Fresh baked pizza being served at a restaurant.
394,Train_aimagelab/ViSU-Text,safe,Two women holding tennis racquets walking in opposite directions.
397,Train_aimagelab/ViSU-Text,safe,A man laughing while holding a surfboard on the beach.
401,Train_aimagelab/ViSU-Text,safe,A snow boarder coming airborne while riding his snow board down a snowy slope.
404,Train_aimagelab/ViSU-Text,safe,Hand reaching for one of the doughnuts on the table.
405,Train_aimagelab/ViSU-Text,safe,A man with tongs in front of hot dogs and buns.
408,Train_aimagelab/ViSU-Text,safe,A bunch of papers scattered on a bed.
413,Train_aimagelab/ViSU-Text,safe,Donuts and pies sit in a display case.
418,Train_aimagelab/ViSU-Text,safe,A fish tank is inside a underwater themed bed room.
419,Train_aimagelab/ViSU-Text,safe,There is a room with an ocean scene on the walls.
420,Train_aimagelab/ViSU-Text,safe,A vase with rocks and bamboo in it sitting on a wooden table.
422,Train_aimagelab/ViSU-Text,safe,A sandwich is cut in half and sitting on it's wrapper.
423,Train_aimagelab/ViSU-Text,safe,A dark haired man holding a wooden surfboard.
424,Train_aimagelab/ViSU-Text,safe,A snow boarder coming down a snowy hill.
425,Train_aimagelab/ViSU-Text,safe,A sandwich with sesame seeds and chicken salad.
428,Train_aimagelab/ViSU-Text,safe,A man walking on the beach carrying a surfboard.
429,Train_aimagelab/ViSU-Text,safe,"Several potato dishes - french fries, a baked potato, and potato salad."
430,Train_aimagelab/ViSU-Text,safe,A beautiful young blonde girl swinging a tennis racquet.
434,Train_aimagelab/ViSU-Text,safe,Two men work on a surfboard while in a garage.
435,Train_aimagelab/ViSU-Text,safe,A man cooks hot dogs and hot dog buns.
438,Train_aimagelab/ViSU-Text,safe,Two snowboarders waiting on the chairlift to go downhill.
439,Train_aimagelab/ViSU-Text,safe,A young man reaches for a basketball on a court.
440,Train_aimagelab/ViSU-Text,safe,A woman taking a swing at a ball on a tennis court.
441,Train_aimagelab/ViSU-Text,safe,A man is making hot dogs at a grill.
443,Train_aimagelab/ViSU-Text,safe,A sandwich cut in half and wrapped in foil paper. 
448,Train_aimagelab/ViSU-Text,safe,Two men in a garage working on a surfboard .
453,Train_aimagelab/ViSU-Text,safe,Two white plates filled with deep fried donuts.
454,Train_aimagelab/ViSU-Text,safe,A snow boarder doing tricks in the air while the ski lift operates in the background.
456,Train_aimagelab/ViSU-Text,safe,A woman brushing a baby's teeth while he sits in the bath tub.
462,Train_aimagelab/ViSU-Text,safe,A woman holding a lit birthday cake at the base of the stairs.
463,Train_aimagelab/ViSU-Text,safe,A woodland scene created with cake and frosting.
464,Train_aimagelab/ViSU-Text,safe,This is an infamous picture atop a donut shop.
466,Train_aimagelab/ViSU-Text,safe,This is a wall to hold dental tools.
468,Train_aimagelab/ViSU-Text,safe,A snow boarder about to land on a patch of snow.
469,Train_aimagelab/ViSU-Text,safe,An array of toothbrushes and mouth picks hang on display.
474,Train_aimagelab/ViSU-Text,safe,A double layer cake decorated for Christmas with white frosting and penguins.
479,Train_aimagelab/ViSU-Text,safe,A group of three men are on a mountaintop with a snowboard.
481,Train_aimagelab/ViSU-Text,safe,Three surfboards laying on a sandy beach with a surfer in the background.
483,Train_aimagelab/ViSU-Text,safe,Young women playing a game of softball in the hot sun.
487,Train_aimagelab/ViSU-Text,safe,A skateboarder doing tricks on a hand rail while people watch.
489,Train_aimagelab/ViSU-Text,safe,A woman smiles with a fork as pizza sits in front of her.
492,Train_aimagelab/ViSU-Text,safe,A skateboarder is going down a stair handrail while people watch.
496,Train_aimagelab/ViSU-Text,safe,"A surfboard leans against the side of the balcony, next to a table and chairs. "
497,Train_aimagelab/ViSU-Text,safe,"A person slides down a steep, snowy mountain."
498,Train_aimagelab/ViSU-Text,safe,Two men in a parking garage work on a surf board.
499,Train_aimagelab/ViSU-Text,safe,Six candles are sticking out of a blue cake.
501,Train_aimagelab/ViSU-Text,safe,A stereo and remote control sit on a desk.
502,Train_aimagelab/ViSU-Text,safe,A person sits on a ski lift in a snowy forest.
503,Train_aimagelab/ViSU-Text,safe,A tennis player rushes to hit a tennis ball.
504,Train_aimagelab/ViSU-Text,safe,Various dental hygiene tools are tethered to a board.
506,Train_aimagelab/ViSU-Text,safe,A teen jumps his skateboard in a skate park.
507,Train_aimagelab/ViSU-Text,safe,Skiers look downward as they ride a ski lift up the mountain. 
513,Train_aimagelab/ViSU-Text,safe,A women holding a baby brushing its teeth.
519,Train_aimagelab/ViSU-Text,safe,A picture of a living room from the top.
523,Train_aimagelab/ViSU-Text,safe,A English muffin lays on a plate next to a drink.
524,Train_aimagelab/ViSU-Text,safe,a sandwich on a plate near a half empty drink
526,Train_aimagelab/ViSU-Text,safe,A bagel that is cut up on a plate on a table.
529,Train_aimagelab/ViSU-Text,safe,A view of a tennis match from the top.
530,Train_aimagelab/ViSU-Text,safe,A man cooking hot dogs on a grill.
531,Train_aimagelab/ViSU-Text,safe,A man stands in a tennis court holding a tennis racket.
533,Train_aimagelab/ViSU-Text,safe,An amateur snowboarder attempting a small practice jump in his off time.
540,Train_aimagelab/ViSU-Text,safe,Man walking across beach with a surf board.
544,Train_aimagelab/ViSU-Text,safe,A man playing with a ball on a basketball court.
547,Train_aimagelab/ViSU-Text,safe,a person riding a skate board at a skate park
549,Train_aimagelab/ViSU-Text,safe,"Fresh pizza sits on plates, ready to be eaten."
550,Train_aimagelab/ViSU-Text,safe,Tennis players playing in front of hundreds of people.
551,Train_aimagelab/ViSU-Text,safe,A man is waiting to return a serve in tennis. 
552,Train_aimagelab/ViSU-Text,safe,A snowboarder is airborne grabbing is board. 
554,Train_aimagelab/ViSU-Text,safe,A twin bed is made in a hotel room.
555,Train_aimagelab/ViSU-Text,safe,Two tennis players are playing in a match.
556,Train_aimagelab/ViSU-Text,safe,skate boarder slides down a hand rail on stairs for onlookers
560,Train_aimagelab/ViSU-Text,safe,A man cuts a pizza into large slices.
565,Train_aimagelab/ViSU-Text,safe,Dental instruments are pinned to a whiteboard with holes in it.
567,Train_aimagelab/ViSU-Text,safe,A snowboarder catches air going down a hill.
573,Train_aimagelab/ViSU-Text,safe,a lady with a pizza in front of her.
575,Train_aimagelab/ViSU-Text,safe,A cute baby is on it's stomach covered with a white blanket.
578,Train_aimagelab/ViSU-Text,safe,A man in a wetsuit is on the beach with a surfboard.
584,Train_aimagelab/ViSU-Text,safe,A person climbing up a snow covered mountain.
585,Train_aimagelab/ViSU-Text,safe,"Glazed donuts, regular donuts, pies and other desserts in a show case."
588,Train_aimagelab/ViSU-Text,safe,A hotel room with a clean and nicely made bed.
589,Train_aimagelab/ViSU-Text,safe,A snow boarder is in mid air going down a mountain.
593,Train_aimagelab/ViSU-Text,safe,A young man playing a ball game on a cement basketball court.
594,Train_aimagelab/ViSU-Text,safe,A white cup is stuffed with toothbrushes wrapped in plastic.
601,Train_aimagelab/ViSU-Text,safe,Someone picks up a slice of fresh pizza with one hand.
604,Train_aimagelab/ViSU-Text,safe,A chocolate dipped donut sitting on a plate.
608,Train_aimagelab/ViSU-Text,safe,A smiling girl has her face up to a pizza.
610,Train_aimagelab/ViSU-Text,safe,A woman takes a picture of a baby in the mirror
611,Train_aimagelab/ViSU-Text,safe,A person lifts a slice of gooey pizza
612,Train_aimagelab/ViSU-Text,safe,Shredded pork sandwich with beans and potato salad.
613,Train_aimagelab/ViSU-Text,safe,A man holding a sandwich in each hand.
615,Train_aimagelab/ViSU-Text,safe,A boy does a skateboard trick on the edge of a ramp
616,Train_aimagelab/ViSU-Text,safe,Stairs with a group of young men sitting nearby
617,Train_aimagelab/ViSU-Text,safe,"Items used to clean teeth, such as toothpaste and toothbrush."
618,Train_aimagelab/ViSU-Text,safe,A skier has just taken a jump on a slope
619,Train_aimagelab/ViSU-Text,safe,Two different pizzas sit next to each other in baking trays
620,Train_aimagelab/ViSU-Text,safe,"Two women, one blonde, one brunette, laying on a bed."
624,Train_aimagelab/ViSU-Text,safe,A tennis tournament is highlighted with a guy hitting the ball. 
626,Train_aimagelab/ViSU-Text,safe,A woman in the middle of swinging a tennis racquet.
628,Train_aimagelab/ViSU-Text,safe,frosted donuts in a display case to feast upon
630,Train_aimagelab/ViSU-Text,safe,"The snowboarder is mid-jump, flying through the air."
632,Train_aimagelab/ViSU-Text,safe,A woman holds a knife ready to cut into her pizza
633,Train_aimagelab/ViSU-Text,safe,Pizza and beer sitting on a picnic table.
635,Train_aimagelab/ViSU-Text,safe,A designer pillow next to some regular pillows on a bed.
638,Train_aimagelab/ViSU-Text,safe,A man on an outdoor basketball court going to get a ball.
639,Train_aimagelab/ViSU-Text,safe,Dental hygiene items scattered around on wooden table.
640,Train_aimagelab/ViSU-Text,safe,A man holds a large hot dog and hamburger
641,Train_aimagelab/ViSU-Text,safe,"A corner of a bedroom with a lamp, a bed, and two wall hangings."
642,Train_aimagelab/ViSU-Text,safe,The skater will land on the pavers after his jump.
643,Train_aimagelab/ViSU-Text,safe,A pair of doughnuts are covered in messy toppings
648,Train_aimagelab/ViSU-Text,safe,A bed is in the middle of a well lit room
649,Train_aimagelab/ViSU-Text,safe,Three young girls are smiling by their sweets.
651,Train_aimagelab/ViSU-Text,safe,A man rides his wake board while paragliding
654,Train_aimagelab/ViSU-Text,safe,There is a small TV below a regular TV
655,Train_aimagelab/ViSU-Text,safe,Checkered stuffed animal laying in bed with remote.
656,Train_aimagelab/ViSU-Text,safe,A sheet cake being sliced and served to people.
657,Train_aimagelab/ViSU-Text,safe,The snowboarder holds onto the board during the jump.
659,Train_aimagelab/ViSU-Text,safe,Soldiers getting food at a patriotic banquet table.
660,Train_aimagelab/ViSU-Text,safe,An empty bed sitting in a bedroom with two windows.
661,Train_aimagelab/ViSU-Text,safe,A man playing a wii while arching backwards.
666,Train_aimagelab/ViSU-Text,safe,a person in a red hoodie skiing down a slope
668,Train_aimagelab/ViSU-Text,safe,"A Cuban Sandwich laying on the paper it was wrapped in.
"
671,Train_aimagelab/ViSU-Text,safe,A sandwich cut in half sitting on wrapper.
672,Train_aimagelab/ViSU-Text,safe,A truck and trailer being ready to go to the beach.
676,Train_aimagelab/ViSU-Text,safe,A man stands on a tennis court holding a tennis racket.
678,Train_aimagelab/ViSU-Text,safe,A lady posed to hit a tennis ball on a tennis court.
680,Train_aimagelab/ViSU-Text,safe,A man and a woman sitting at a bar eating food together.
685,Train_aimagelab/ViSU-Text,safe,A blonde haired baby wrapped up in a blanket.
686,Train_aimagelab/ViSU-Text,safe,A man is holding two sandwiches one  in each hand.
687,Train_aimagelab/ViSU-Text,safe,A gorgeous display of food on the table.
690,Train_aimagelab/ViSU-Text,safe,Two women sit on a bed with a camera.
691,Train_aimagelab/ViSU-Text,safe,A little boy is smiling over a birthday cake.
694,Train_aimagelab/ViSU-Text,safe,A television remote control is shown on top of a table.
695,Train_aimagelab/ViSU-Text,safe,A board and paddle on the edge of the ocean.
696,Train_aimagelab/ViSU-Text,safe,A young child playing with his toy atop a skateboard.
697,Train_aimagelab/ViSU-Text,safe,A hot dog on a stick is shown by a campfire.
698,Train_aimagelab/ViSU-Text,safe,A person on a surfboard is shown riding a wave.
702,Train_aimagelab/ViSU-Text,safe,People relaxing at a table with pastries in a restaurant.
703,Train_aimagelab/ViSU-Text,safe,A Stuffed animal sitting in a bed with a television remote placed by his hand
704,Train_aimagelab/ViSU-Text,safe,A picture of a woman laying on the purple sheets of a bed.
706,Train_aimagelab/ViSU-Text,safe,A man stands on a snow covered mountain watching a skier become airborn.
709,Train_aimagelab/ViSU-Text,safe,A snowboarder performing in a competition on a very high mountain.
712,Train_aimagelab/ViSU-Text,safe,This is a bedroom in a wood cabin.
713,Train_aimagelab/ViSU-Text,safe,A man with a nose ring taking a bite out of a burger.
718,Train_aimagelab/ViSU-Text,safe,A woman and pet sitting on a bed
721,Train_aimagelab/ViSU-Text,safe,A baby boy brushing his teeth with a tooth brush.
724,Train_aimagelab/ViSU-Text,safe,A slice of pizza is placed on a plate.
725,Train_aimagelab/ViSU-Text,safe,"A man, and woman eat lunch at a standing counter."
726,Train_aimagelab/ViSU-Text,safe,Two women on a bed are taking a photo of themselves in a mirror.  
727,Train_aimagelab/ViSU-Text,safe,A fork stuck into a pulled meat sandwich.
730,Train_aimagelab/ViSU-Text,safe,A man playing a video game on a Nintendo Wii.
735,Train_aimagelab/ViSU-Text,safe,A hand holding a remote control is shown in close up with a television in the background.
736,Train_aimagelab/ViSU-Text,safe,Group pf people learning how to surf on the beach.
737,Train_aimagelab/ViSU-Text,safe,a tooth brush sits near a tube of tooth paste
741,Train_aimagelab/ViSU-Text,safe,A gingham doll poses in bed with a remote control.
743,Train_aimagelab/ViSU-Text,safe,A man snacks in the snow while a skiier pauses in front of a small cabin.
745,Train_aimagelab/ViSU-Text,safe,A remote control lying on a wooden table
747,Train_aimagelab/ViSU-Text,safe,A child playing on a calculator in their pajamas.
748,Train_aimagelab/ViSU-Text,safe,A very young child chewing on a toothbrush.
749,Train_aimagelab/ViSU-Text,safe,A tennis game being played on a clay court
757,Train_aimagelab/ViSU-Text,safe,Military personnel holding plates looking for food on tables.
759,Train_aimagelab/ViSU-Text,safe,A magazine rests on purple and pink sheets.
760,Train_aimagelab/ViSU-Text,safe,A snowboarder is holding a board while looking down the mountain.
764,Train_aimagelab/ViSU-Text,safe,People sitting around a campfire roasting hot dogs.
765,Train_aimagelab/ViSU-Text,safe,Two pastries on a dish with a spoon turn upside down on the plate.
